mass_1 mass_2 luminosity_distance dec ra theta_jn psi geocent_time phase redshift lambda_1 lambda_2
1.948072244832348865e+00 1.912349360192812320e+00 4.747861681626586687e+03 1.112727929022202300e+00 4.527454769581569671e+00 1.609383423270641211e+00 4.262134369833032288e+00 1.585103964516547441e+09 4.389091691849175803e+00 7.471499999999999808e-01 2.068654686588550007e+01 2.483223499332213891e+01
1.476291760684866450e+00 1.960583654818428334e+00 5.063120557016610292e+03 -1.039170169734102700e-01 6.256702901537969375e+00 1.468048120419090719e+00 4.242556482506631532e+00 1.579515178014555693e+09 5.450410101313260647e+00 7.874499999999999833e-01 1.825123136683645271e+02 1.937136497374976685e+01
1.517061354535642170e+00 2.108561593442493276e+00 4.740870771371294722e+03 1.050283100449790563e+00 1.614100254109842147e+00 1.590240433351410854e+00 3.497349832137579106e+00 1.595511446992332458e+09 1.015798160908133463e+00 7.462499999999999689e-01 1.521049907742507799e+02 7.906835928362198729e+00
1.985350994156086291e+00 2.028008920456457087e+00 6.348738169685337198e+03 7.349531169524752272e-01 6.283588755828625194e-01 1.708985159151418465e+00 2.573884599697106257e+00 1.606082270693502903e+09 8.782991681505368797e-01 9.467499999999999805e-01 1.695526264616013279e+01 1.332728970756527254e+01
1.590400606740562495e+00 1.409592717244896765e+00 2.561081600099184470e+03 1.153707794463364245e+00 3.974515654739466441e+00 1.732726263156238344e+00 3.439464698882491511e+00 1.593915847494023323e+09 4.257422373396285487e+00 4.479500000000000148e-01 1.099278016490542029e+02 2.462759087524396477e+02
1.402833279117749132e+00 1.907179278591420779e+00 4.437016794995913187e+03 7.800126232698012529e-01 9.175735936273600180e-01 1.902760007906993067e+00 2.932956711655203108e+00 1.583999503603446960e+09 2.856260905393654959e+00 7.068499999999999783e-01 2.537003015781089061e+02 2.547642640011428838e+01
2.102169664916288205e+00 1.178203409294410475e+00 4.902996663490128412e+03 6.602580761299865486e-01 2.251585733725343097e+00 1.580929983977537034e+00 4.790495121525666811e+00 1.604250189145542383e+09 3.926796243296204469e+00 7.670500000000000096e-01 8.281843688983689944e+00 7.303158759985194592e+02
1.613751332380093828e+00 1.789048961020754946e+00 2.975982827121650189e+03 9.954324812271444500e-01 5.470114381033063244e-01 2.269384256554042967e+00 1.401569142813909430e+00 1.593648088322793722e+09 2.105930888839671056e+00 5.080500000000000016e-01 9.909046763706001570e+01 4.490577853995802826e+01
1.420124804152548492e+00 1.625220140298935689e+00 4.609236724625663555e+03 -9.097932550578616828e-01 5.727964091928460455e+00 1.136878128259570353e+00 5.722806736907506853e+00 1.580594363712716579e+09 4.861520910026094988e+00 7.292499999999999538e-01 2.347077356283383551e+02 9.415046094880054284e+01
1.793600365441591515e+00 2.054255431548464017e+00 6.503460219730745848e+03 7.206412044990089250e-01 3.544907353466331679e-01 1.632459170004106230e+00 2.221217500528038347e+00 1.582512491782402992e+09 6.223870682167935264e+00 9.654500000000000304e-01 4.395204608488822373e+01 1.137801745186522773e+01
1.782214664789616876e+00 1.710137854290463277e+00 3.258041112787509064e+03 3.165066681375745539e-01 3.807485707092645111e+00 1.381800923017747262e+00 1.890681413807203892e+00 1.584465594954813957e+09 2.514605495527902690e+00 5.478499999999999481e-01 4.633788378056412682e+01 6.437830371113886940e+01
1.935130598744201125e+00 1.723010137260450492e+00 6.683935131081592772e+03 2.443752539980708072e-01 6.256351045436378655e+00 1.445796036245899474e+00 3.069579549272622998e-01 1.604047007422280550e+09 3.123944243456137304e+00 9.871499999999999719e-01 2.211845657299388890e+01 6.075837974629941129e+01
1.288871057532947173e+00 1.884636097227474494e+00 6.677264167886367431e+03 4.763994502934054687e-01 1.483040043539301633e+00 1.678914468763185619e+00 4.272892991364106940e+00 1.591160143772172213e+09 4.683531807332694363e+00 9.863499999999999490e-01 4.283046683489235988e+02 2.849275047136976724e+01
1.401299441941725510e+00 1.736466517513722163e+00 6.617285529078471882e+03 1.159194141472970507e+00 5.025122375670988184e+00 2.007149472184623473e+00 6.102695643787304114e+00 1.578710667875996113e+09 4.909349409610542558e+00 9.791499999999999648e-01 2.553850288455539612e+02 5.715764411081580931e+01
1.754684684930132743e+00 1.386395545911652372e+00 4.743977570731750347e+03 7.903170574769635692e-03 5.181557007605253951e+00 2.507804168350603824e+00 1.617975343450449133e+00 1.604307538409980059e+09 1.910628833049911490e+00 7.466500000000000359e-01 5.260397746487566195e+01 2.735494837461027942e+02
2.129218956846764321e+00 2.088588668640189105e+00 3.117726745717987797e+03 -4.448172804924614976e-01 3.690912452491193485e-02 7.899516043837401247e-01 2.745740043064889058e+00 1.586125871038287878e+09 5.922923288334109415e+00 5.281500000000000083e-01 6.744413468767325170e+00 9.106271944579880540e+00
1.766198678659502086e+00 1.127955343448508563e+00 5.999127339317804399e+03 -8.152210982983711940e-01 5.863247361396866530e+00 2.254432390367011152e+00 4.018403279431258746e+00 1.594651454964521170e+09 1.723725691330990850e+00 9.041500000000000092e-01 4.988562364023670170e+01 9.296597894337321577e+02
1.907274686255741925e+00 2.051439669071748462e+00 6.057114546892045837e+03 -7.320456303627159711e-01 3.333311155474550702e+00 2.490143857389232718e+00 2.799696695504975352e+00 1.585051947018639565e+09 4.158114640595010236e+00 9.112500000000000044e-01 2.546453861917846950e+01 1.157869421948211830e+01
1.206646265641231119e+00 1.663489648937801046e+00 5.687514798756142227e+03 5.115288056282523144e-01 2.975648295020137724e+00 1.672242532631095235e+00 7.406278284971469228e-01 1.595151561930551529e+09 5.922834311784833439e+00 8.657500000000000195e-01 6.320785129422890805e+02 7.938703764574583488e+01
1.670906183202591100e+00 1.391064066140651700e+00 3.537565490391824824e+03 6.657324615637194576e-02 2.949282149293161570e+00 1.109325816877329007e+00 1.588828989573465300e+00 1.596057182408398390e+09 3.988284139824757268e+00 5.865500000000000158e-01 7.680683679124062735e+01 2.678030684211582866e+02
2.076339522834514284e+00 2.111097777300694034e+00 6.687271111447396834e+03 -5.762017572906662499e-01 3.846267424975216009e+00 1.125823937941234032e+00 5.643902647191466615e-01 1.588061674314164639e+09 4.792575898258813361e+00 9.875500000000000389e-01 9.883426916535508866e+00 7.760706107852377578e+00
1.755562782910098818e+00 2.116150195651070653e+00 5.436897955341913075e+03 -2.235697794584123876e-01 1.224706268323448421e+00 2.082452388567685997e+00 3.884576960918016741e+00 1.595191265912632942e+09 1.486806956902058108e+00 8.345500000000000140e-01 5.239337538900102231e+01 7.471841034612359600e+00
1.337653262740145177e+00 2.133402443962762352e+00 3.405479475706328685e+03 7.141482794277762558e-01 3.524282584440523447e+00 2.127115676657858945e+00 5.099837727540728949e+00 1.581093621305506945e+09 1.180219932131946647e+00 5.683500000000000218e-01 3.417261989760100960e+02 6.517167850117979278e+00
2.072400576950784501e+00 1.462795821945973351e+00 7.302146166965164866e+02 6.529171823568993283e-01 1.963173808389464980e+00 6.348965302634502761e-01 4.390179976160927922e+00 1.604672366633090019e+09 1.320492111272091096e+00 1.487499999999999933e-01 1.014181084844129366e+01 1.939002210254313638e+02
1.863795318005136314e+00 1.277075406763443777e+00 6.728998860543818409e+03 4.394259217196720968e-01 3.053740382637890605e+00 7.095099289626509709e-01 4.987316117134290572e+00 1.597705712488184690e+09 1.680568234895382651e-01 9.925500000000000433e-01 3.153611922377150378e+01 4.518895846064563102e+02
1.127869700645018236e+00 1.123006121455817130e+00 5.209581310642447534e+02 1.272741854842964759e-01 3.148832915702548529e+00 1.273308812815723057e+00 1.058459647569766071e+00 1.601539635631133080e+09 2.542772753585609724e+00 1.088500000000000023e-01 9.300505974306615826e+02 9.522442385000285867e+02
1.500032628261691148e+00 1.172156786535281769e+00 2.832932721550693259e+03 4.121414448185047874e-01 2.676583221107356358e+00 6.208658747579196557e-01 1.837826618745390661e+00 1.603550449678033352e+09 2.827335287883296022e+00 4.875499999999999834e-01 1.641983318022377603e+02 7.525769170665081447e+02
1.424464617052044746e+00 1.581352664704244182e+00 5.538628038464912606e+03 -6.746430972273377291e-01 2.074173395520332530e+00 2.665766071551196603e+00 5.794876571849790992e+00 1.607482077133014679e+09 2.450448370191900427e+00 8.472499999999999476e-01 2.300173172640490691e+02 1.143366227305227198e+02
1.433150154798862763e+00 1.805795089916379936e+00 1.777480138648329557e+03 1.174392561387300749e+00 2.539775469977019196e+00 2.031288446408243242e+00 1.233964713283273396e+00 1.598071589942744732e+09 2.967789966754970088e+00 3.281499999999999972e-01 2.214792607168036795e+02 4.153598926962154536e+01
1.842188608581315945e+00 2.046169427439008981e+00 3.617196742504263057e+03 6.960010232217594961e-03 4.898552865383726918e+00 1.139711076143642643e+00 1.349896702876197452e+00 1.590774422558463097e+09 5.998948009847452134e+00 5.974500000000000366e-01 3.497778023173291473e+01 1.195734580175304984e+01
1.638357680365390312e+00 1.859591669377773648e+00 4.743200830102432519e+03 -1.793970177315888925e-01 2.333393223339117917e+00 2.755745910509201035e+00 1.166838514520495557e-01 1.607758719931093454e+09 5.796854788530022562e-01 7.465500000000000469e-01 8.876610634947141421e+01 3.218494818636989407e+01
2.031709897044136071e+00 1.365654347506335187e+00 6.338010119870103154e+03 -2.319279620870655645e-01 7.201568515429630502e-01 2.954825845842858456e+00 3.843694250074901397e+00 1.597246577927644014e+09 4.770443826970239165e+00 9.454500000000000126e-01 1.303849486129958635e+01 3.006135539106082888e+02
1.268549199558110185e+00 1.964077936459218465e+00 6.107844263042155035e+03 -9.145848601763912900e-01 4.116275468524136727e+00 1.700369611342071652e+00 3.515630666246600367e+00 1.590430473807740450e+09 4.220706568332587949e+00 9.174499999999999877e-01 4.708801997832168240e+02 1.901088715039930577e+01
1.479932935422963780e+00 2.004930964323972997e+00 5.377804468035382342e+03 7.928806197371724984e-01 5.783999664558223230e+00 7.060056998040050713e-01 3.971601322453377048e+00 1.598729796468682766e+09 5.572859858106710140e-01 8.271500000000000519e-01 1.796221732187856617e+02 1.521234878348732877e+01
2.006027339192128167e+00 1.678618396976397253e+00 3.692800077091649655e+03 -2.653857568367430364e-01 6.123389611326643944e+00 4.182450812729823775e-01 5.756853818506686871e+00 1.585334958082908630e+09 3.795248126535483379e+00 6.077500000000000124e-01 1.511999235449967927e+01 7.416294342247728366e+01
1.527685205316577921e+00 1.366562076707359186e+00 6.193132301594429919e+03 8.201179414598769313e-02 4.447937903997369880e+00 2.335424747431913417e+00 3.540996839354624282e+00 1.588015979436309814e+09 1.773949842967369461e+00 9.278499999999999526e-01 1.452231945989432518e+02 2.993579308574121001e+02
2.196666987069320953e+00 1.531304244269803494e+00 4.750969459448716407e+03 -1.310189427300405551e-01 2.756867022025760061e+00 2.523408450722357088e+00 5.458772858038390297e+00 1.581826389794324398e+09 2.129190039171285687e+00 7.475500000000000478e-01 2.985391313669909064e+00 1.428788950657375381e+02
1.304718708994750065e+00 1.524119833230360488e+00 3.401866398819478945e+03 4.971047140653679364e-01 5.737429200854694322e+00 2.326002211228797467e+00 6.396537038850396151e-01 1.583621991854728937e+09 4.821047325967584563e+00 5.678499999999999659e-01 3.974750843690118245e+02 1.475327304247390998e+02
1.973945895755375934e+00 1.952981463372374105e+00 5.183131404813857444e+03 1.087398561089335747e+00 4.527525051631173802e+00 6.973937465620158038e-01 4.603130163162107991e+00 1.597458904921411991e+09 6.175237203595359325e+00 8.026499999999999746e-01 1.803611295381752910e+01 2.015686640680247166e+01
1.429312868946770454e+00 1.649766691577019495e+00 6.341310667454263239e+03 -1.270140878117933525e-01 3.013447643527602970e+00 9.725660838448659806e-01 1.968171729923823721e+00 1.608157566613131523e+09 4.484384710328289891e+00 9.458499999999999686e-01 2.252513891155446402e+02 8.441996804979791591e+01
1.805652152383217635e+00 1.611374696152133801e+00 4.754077671810635366e+03 -7.753638792577068894e-01 2.616820542749212497e-01 1.148343485754816928e+00 5.630400751583392704e+00 1.590986118462311983e+09 1.023747706678091118e+00 7.479500000000000037e-01 4.156406497946002787e+01 1.001510956556843155e+02
1.115975198266436763e+00 1.687900780247872490e+00 2.367221573474682373e+03 -6.366648887864569950e-01 2.532092913718170024e+00 9.371598959065852164e-01 4.988782438750665627e+00 1.606834227896076441e+09 3.974846978079652704e+00 4.191500000000000226e-01 9.853139539255536192e+02 7.117710671751595441e+01
1.781423550173858894e+00 1.447842034687353951e+00 9.838572013738112219e+02 -4.554798801600874469e-01 5.354881217423358208e+00 1.169299424479536054e+00 4.252255712290222145e-01 1.585860403479039907e+09 5.875005086112947694e+00 1.949500000000000122e-01 4.650365935552166263e+01 2.070908497318901311e+02
1.632326082105857168e+00 2.083446507109297130e+00 5.537825481438430870e+03 -1.972402240316861732e-01 3.868453252726426150e+00 2.373428567555880164e+00 3.566017223896779331e+00 1.582781396736642599e+09 4.499977280810050217e+00 8.471499999999999586e-01 9.123812650436690319e+01 9.427852708711695229e+00
1.166431600381040212e+00 1.247190208216320206e+00 5.209264507171143123e+03 -5.022281377496338184e-01 6.048306210796472904e+00 1.718245948314525373e+00 3.754165688876791585e+00 1.608073832955317020e+09 1.126185680935485989e+00 8.059500000000000552e-01 7.736545680426733043e+02 5.203197988353246046e+02
1.870736706380502490e+00 1.248432171473695895e+00 3.693535768222981005e+03 1.138828276815811780e+00 4.427372134213454657e+00 9.257024253949038828e-01 1.989077275489916197e+00 1.601190495957250834e+09 5.732854387889084968e+00 6.078500000000000014e-01 3.049174377073305564e+01 5.170943521084134318e+02
2.085568239788217593e+00 1.291086055294998092e+00 3.299609417566100092e+03 8.351229146664449488e-01 2.563837705010297174e+00 5.107175294773597107e-01 4.345430992614728316e-01 1.593757910247836351e+09 1.842059124540249782e+00 5.536499999999999755e-01 9.294788285839015174e+00 4.238758718586399823e+02
1.760008788398248036e+00 1.609142761281823208e+00 6.520882140343828723e+03 8.404615112513047492e-02 1.737844067652046798e+00 1.317862896184762267e+00 1.823942642403135084e+00 1.601847255863885164e+09 5.260719696149482871e+00 9.675500000000000211e-01 5.132705021058480099e+01 1.011471473994667178e+02
1.264226107421046796e+00 1.156922208874607616e+00 5.299754478880504394e+03 -8.059711883300103574e-01 5.036809596456579108e+00 2.683834346206097177e+00 1.334479542611605396e+00 1.586330144647522688e+09 4.395294757965880095e+00 8.173500000000000210e-01 4.807150834490814759e+02 8.086640209702085258e+02
1.973582567591372960e+00 2.116208336678481405e+00 6.678931783949162309e+03 5.141576235461258193e-01 4.261227359525263658e+00 5.910663036574147489e-01 3.048418661273413210e+00 1.599982542134362459e+09 2.062849917365329411e+00 9.865500000000000380e-01 1.807200054728468075e+01 7.468550339808934346e+00
1.972575224147691708e+00 1.519754534970517046e+00 5.718197976306221790e+03 -1.228567902690963054e+00 3.669452966385898574e+00 1.377026962974926549e+00 4.356680523054321519e+00 1.588132168356880426e+09 4.230167147506402436e+00 8.695500000000000451e-01 1.817150049133066503e+01 1.503604332500248688e+02
1.947818720692364503e+00 1.235136222651154414e+00 2.422749909184653006e+03 6.847288592581723954e-01 4.613868499517311150e+00 2.637262499580478980e+00 6.039069767128336430e+00 1.608449858266904354e+09 9.307953920037869144e-01 4.274499999999999966e-01 2.071390086973778111e+01 5.516246607597781804e+02
2.120850904624051125e+00 1.223885496133094497e+00 3.403311528312661721e+03 -4.386880120664009564e-01 3.287390392351862811e+00 1.349647641988611868e+00 3.918405974157330718e+00 1.596234518885011435e+09 2.456402147563014338e-01 5.680500000000000549e-01 7.207157399150775134e+00 5.808434148634387384e+02
1.595950679823901597e+00 2.095449642151039793e+00 5.211641615705994809e+03 4.560015077267376427e-01 3.659811980219911831e+00 1.385834489373935829e+00 3.012716279638060435e+00 1.598471516490737677e+09 5.373365180463413715e+00 8.062500000000000222e-01 1.072233989113601638e+02 8.684999804069143181e+00
1.821938920732200096e+00 1.708068733284837659e+00 5.534615495509660832e+03 -5.762042383607995921e-01 2.542261949314370550e+00 1.571425490455448992e+00 9.336979131041026059e-02 1.583626257370486736e+09 3.287423794495001328e+00 8.467500000000000027e-01 3.850341623057725116e+01 6.499474357970471772e+01
1.239494079617738498e+00 1.561096468474074239e+00 5.062332983692833295e+03 -1.435241755895517723e+00 8.559157267518747725e-01 2.011553590563118554e+00 2.635704133695369489e+00 1.608576163864508390e+09 1.310965917693573513e+00 7.873499999999999943e-01 5.403070670985021025e+02 1.251053242235084753e+02
1.387518187286419069e+00 1.397456465656181201e+00 6.049757746247839350e+03 -1.126385103792022502e-01 3.708074447335256263e+00 2.187577461556639680e+00 5.048830732645388508e+00 1.601488139256032705e+09 3.852142987589850076e+00 9.103499999999999925e-01 2.721676404030444019e+02 2.599347545363794438e+02
1.944345550418926427e+00 1.925588743137343961e+00 5.053671388990340347e+03 5.839919134993101224e-01 2.205753237880855089e+00 1.363560049639670479e+00 7.215348463208515195e-01 1.605694783371351242e+09 2.006738250387665179e+00 7.862500000000000044e-01 2.108863880611378860e+01 2.322438747490892652e+01
1.335612709222478989e+00 1.442401679597220099e+00 4.138342203541612434e+03 -1.060424934462966817e-02 3.096809365858075758e+00 2.750059275893869337e+00 1.334813993869885085e+00 1.604518295458488464e+09 1.192513056880031952e+00 6.675499999999999767e-01 3.449081502105033792e+02 2.123848276282416805e+02
1.131164394017073693e+00 1.618943916491335067e+00 4.940574451682192375e+03 -6.436776135799068266e-01 5.742024170563751362e+00 2.051337652403580236e+00 1.754642363584636211e+00 1.582131493060829163e+09 2.834480614258258147e+00 7.718500000000000361e-01 9.150161466098795700e+02 9.677315877310607561e+01
1.571300198077198340e+00 1.737838369248587700e+00 6.344611562496887018e+03 -9.755719527026481819e-01 3.334543116324443002e+00 1.250671060878565388e+00 8.474796425399849786e-01 1.608671371517627239e+09 2.740447569488650537e+00 9.462500000000000355e-01 1.196564304914351169e+02 5.680470962133976798e+01
1.263775806147736214e+00 1.910863467983626496e+00 3.831670575596782328e+03 2.746995628490456198e-01 5.403045987004968076e+00 2.169663726154922756e+00 2.254057852905521298e+00 1.600946573374944687e+09 4.122282337612531711e-01 6.265500000000000513e-01 4.817395031230532254e+02 2.501737694394809353e+01
1.982249078526582498e+00 1.740441875700668106e+00 5.863188114523508375e+03 5.987556449920581336e-01 5.571018167046944747e+00 1.783129750119687218e+00 5.011664783112506072e+00 1.604474078307189941e+09 4.926246147267809405e+00 8.874499999999999611e-01 1.724700231353297397e+01 5.613490894451768298e+01
1.658859156171957894e+00 1.453365306951829972e+00 3.117726745717987797e+03 -1.732521457077549343e-01 5.667616183294365229e+00 2.120203964175139344e+00 2.877327751339109785e+00 1.581848364020452499e+09 2.448278957681193635e+00 5.281500000000000083e-01 8.099797895129995595e+01 2.022188108011910970e+02
1.637239934880005521e+00 1.435585838649226620e+00 4.434719897609771579e+03 -5.890662828811776830e-01 6.233997491350879550e+00 7.958639265612452718e-01 7.655620616741215523e-01 1.587278364556730509e+09 5.865898014670313465e+00 7.065500000000000114e-01 8.922420870460547349e+01 2.190849349937662396e+02
1.170495812517913903e+00 2.155237966639231839e+00 6.502630838200636390e+03 -9.105815451404195571e-01 2.248206497130371684e+00 1.937679874204383923e+00 2.378216999010207999e+00 1.592594699888361454e+09 2.563155009102922932e+00 9.653500000000000414e-01 7.586919026190071236e+02 5.360645550754950861e+00
2.036254987498616220e+00 1.533284067665105166e+00 5.062332983692833295e+03 -1.916974403576097163e-01 1.253445739004432458e+00 1.181074704289003519e+00 1.239410369132075918e+00 1.598660189293362379e+09 5.351211021980161853e+00 7.873499999999999943e-01 1.269362443972719667e+01 1.415964277805211111e+02
1.437179188496583659e+00 1.253399598728634601e+00 6.341310667454263239e+03 -1.737204874041007319e-01 4.129783585971400939e+00 1.684706220871390769e+00 2.267012211831569424e+00 1.585783896666948318e+09 2.504372203383229412e+00 9.458499999999999686e-01 2.175186403678217175e+02 5.053450127037642119e+02
1.974712713437456912e+00 1.615032161997673077e+00 4.897521671321954273e+03 1.130875046686252272e+00 2.293466089927522766e+00 2.778168898503775797e+00 2.991572188675459376e+00 1.608037295937475204e+09 6.019502920823798675e+00 7.663499999999999757e-01 1.796077607910575580e+01 9.851886826332899716e+01
1.584488971027733673e+00 1.410943227559554813e+00 5.524987864111080853e+03 -1.141302190136720407e+00 2.697951879752202409e+00 9.474320348308070683e-01 4.209669689760859868e+00 1.596200964726919413e+09 5.212194566839357890e+00 8.455500000000000238e-01 1.128083842226454152e+02 2.447925429900000438e+02
1.900164689956729269e+00 1.737709427578694621e+00 5.528998952937232389e+03 9.739027137477962448e-01 1.258638936098763206e-01 1.307838014120427772e+00 4.543466372781908902e+00 1.579792504999825001e+09 3.050399977967819254e+00 8.460499999999999687e-01 2.639128231964348359e+01 5.683788227497232270e+01
1.567230230083772380e+00 1.485214689893152418e+00 4.711377912218202255e+03 4.683240222972058220e-01 5.371029784225934023e+00 1.018926232397187714e+00 1.099489595420710897e+00 1.596554861120573282e+09 5.604737327903723809e+00 7.424500000000000544e-01 1.218298341341902216e+02 1.754298415299711564e+02
2.171868719505700263e+00 1.799171183260438900e+00 4.784405473090898340e+03 -1.054012848420833315e+00 1.628950507137890913e+00 1.383052458063243284e+00 1.373663685963642411e+00 1.584262169499700069e+09 9.363739123408446607e-01 7.518500000000000183e-01 4.490053718127036575e+00 4.283705328797521616e+01
1.562621091419404307e+00 2.040359715104044902e+00 2.563118320439467425e+03 2.061535901430160411e-01 6.274067088325056218e+00 2.328112254885918997e+00 1.925035634574809640e+00 1.590022334541094542e+09 5.506053333241116121e+00 4.482499999999999818e-01 1.242911603115167622e+02 1.238431183737151642e+01
2.010177108383866873e+00 1.129192847933147892e+00 6.189026412809682370e+03 1.855766571433226098e-02 1.780109587926114845e+00 2.407752822878757026e+00 4.236834680551812227e+00 1.593633655538424253e+09 6.128726714016078603e+00 9.273500000000000076e-01 1.477042408656135386e+01 9.240127691457107630e+02
1.244948916329624566e+00 1.304641177950016884e+00 4.465366257202345878e+03 4.689886154093483306e-01 2.774193170100521133e+00 2.564060349374901904e+00 3.483459130578561158e+00 1.606745027208205938e+09 2.391209657609293604e+00 7.105500000000000149e-01 5.261405568465308988e+02 3.976117706099660154e+02
1.697658588579733507e+00 1.880385157299347521e+00 5.526592226884474258e+03 1.213608089567883574e-01 4.332884081249646080e+00 2.596207610130152332e+00 1.948175698496549924e+00 1.588935548842069149e+09 5.783660832470880919e+00 8.457500000000000018e-01 6.809617081200202904e+01 2.908401979533504544e+01
2.036666206302518045e+00 2.098641907032700704e+00 3.745851736926083959e+03 -1.092664777420816691e+00 2.384486830676775693e+00 1.834419352862731944e+00 1.907213011003920933e-01 1.582201687212467909e+09 2.245405693279140635e+00 6.149499999999999966e-01 1.266242215592659193e+01 8.492706171518953795e+00
1.226018836864580352e+00 1.211976331627036441e+00 4.433954322162444441e+03 -4.443487545727013988e-01 3.301226952376578705e+00 2.720190375273111361e+00 9.180376179280089755e-01 1.597076828830495834e+09 1.380029006345651066e+00 7.064500000000000224e-01 5.753030119256774242e+02 6.162254537533442544e+02
1.209586163057837283e+00 1.167184892352028491e+00 2.624383564094305257e+03 1.686913040353044124e-02 4.424944275158395612e+00 2.029308141563087364e+00 4.466303105519402017e+00 1.578069296492921114e+09 4.864113703844129333e+00 4.572499999999999898e-01 6.233344621408541570e+02 7.708812738964427353e+02
1.692772586005270696e+00 1.459945582755102000e+00 2.564476330227574181e+03 -9.816219115669131412e-01 5.153906925686501772e+00 2.048784154341440455e+00 2.148453539650741373e+00 1.607430607980945826e+09 5.766970375700182228e-01 4.484500000000000153e-01 6.961000740428423228e+01 1.964143966146093305e+02
