mass_1 mass_2 luminosity_distance redshift theta_jn dec ra psi phase geocent_time a_1 a_2
8.010799999999999699e+00 7.768200000000000216e+00 3.025559896823724921e+04 3.403399999999999981e+00 2.238721402520864601e+00 -8.857287168945680023e-01 3.720725239729675504e+00 8.874550933395533026e-01 1.349129897834881353e+00 1.588267291959751844e+09 2.109999999999999931e-01 2.482999999999999929e-01
5.022729999999999961e+01 2.649210000000000065e+01 3.091726785308337276e+04 3.465700000000000003e+00 2.846661737807884673e+00 -1.216052930578774838e-01 3.043941095697797472e+00 1.053186356345975572e+00 3.240782270643092655e+00 1.580687411792281151e+09 1.275999999999999912e-01 1.827999999999999903e-01
1.580059999999999931e+01 1.510180000000000078e+01 7.733775324658216960e+03 1.111199999999999966e+00 4.492486833831955129e-01 1.184957190091742163e+00 6.076790853499199230e+00 4.680685683689466359e+00 2.780631265678009001e+00 1.594473457501699686e+09 7.349999999999999867e-01 1.661999999999999866e-01
1.242600000000000016e+01 8.939899999999999736e+00 4.761744320759839320e+04 4.994600000000000151e+00 2.453375257789509156e+00 7.127874753611651570e-03 1.012210742775978112e+00 2.717835959085203257e+00 2.718712827012584210e+00 1.594158350550974131e+09 1.270000000000000018e-01 2.169000000000000095e-01
2.055699999999999861e+01 1.996600000000000108e+01 2.454060773175174472e+04 2.857699999999999907e+00 3.794618504319794972e-01 -1.087283588246551025e+00 2.421418787726846045e+00 6.086103205259763449e+00 4.654729983596504750e-02 1.603821266191776991e+09 2.301999999999999880e-01 2.132999999999999896e-01
3.331400000000000006e+01 2.002599999999999980e+01 2.847394728680031039e+04 3.234799999999999898e+00 1.979396776084835663e+00 -5.087576861707354681e-03 1.031035492866927417e+00 1.333825754442012457e+00 4.186017564361971921e+00 1.603238940807470798e+09 1.234999999999999987e-01 1.635000000000000064e-01
1.950400000000000134e+01 1.720400000000000063e+01 2.225815781035151304e+04 2.635299999999999976e+00 1.751317407713738561e+00 -6.788946226003121920e-01 3.640768990142440931e+00 4.722114892569071465e+00 1.687558584487070801e-01 1.608782134338657141e+09 2.270000000000000073e-01 1.305000000000000049e-01
8.579900000000000304e+00 8.004699999999999704e+00 4.112579172951960936e+04 4.408900000000000041e+00 2.511110404878211355e+00 -4.628972557458641557e-01 6.213880236653840150e+00 5.281043644296067319e-01 5.362490932672828059e+00 1.604774902583539486e+09 8.290000000000000147e-02 1.300000000000000044e-01
1.633599999999999852e+01 1.423199999999999932e+01 1.243123959916201966e+04 1.633699999999999930e+00 9.623903364804783367e-01 4.900224581475742802e-02 7.677186159190599879e-01 8.059800630967942636e-01 4.917491220539631946e+00 1.604086524670130730e+09 1.862999999999999934e-01 1.333999999999999908e-01
1.044299999999999962e+01 5.904399999999999871e+00 2.692867831195886902e+04 3.087499999999999911e+00 4.797334979597394633e-01 8.554264389942645153e-02 3.961229649008502385e+00 3.244468934714704655e+00 1.148602773213348582e-01 1.584939450313307524e+09 2.685000000000000164e-01 1.497999999999999887e-01
2.886199999999999832e+01 2.703800000000000026e+01 2.397855849286136072e+04 2.803199999999999914e+00 1.190177025200662486e+00 -5.646729693989842591e-01 1.821481678653270153e+00 4.403953332009823640e+00 4.012004539246507129e+00 1.592437934017813444e+09 1.711000000000000021e-01 2.672999999999999821e-01
1.682620000000000005e+01 1.448969999999999914e+01 3.154015237794070708e+04 3.524199999999999999e+00 4.608053696722790304e-01 5.471979456343438741e-01 5.757628177924415169e+00 3.090810529534317563e+00 6.469869504344472055e-01 1.603125147533998966e+09 2.235000000000000042e-01 1.486000000000000099e-01
2.623300000000000054e+01 1.275200000000000067e+01 4.244601520814863761e+03 6.815999999999999837e-01 1.084319063198141864e+00 -2.973872277938778286e-01 3.693890663836609356e+00 2.741602046975838647e+00 3.779025227809924559e+00 1.579187367965981722e+09 2.666999999999999926e-01 1.190999999999999975e-01
1.476099999999999923e+01 1.324900000000000055e+01 3.298643354256934981e+04 3.659499999999999975e+00 2.639030100687338454e+00 -1.061886581064749757e+00 6.939548530058155251e-02 2.088013141870582956e+00 9.102698051600290885e-01 1.590859309026077986e+09 1.645999999999999963e-01 1.761999999999999955e-01
3.729399999999999693e+01 3.606400000000000006e+01 1.070930168901607431e+04 1.447100000000000053e+00 2.772831950179259319e+00 4.777961408407582766e-01 4.845751424560767795e+00 2.492509643091153748e+00 4.222194159200611807e+00 1.578393831469564915e+09 2.245999999999999941e-01 1.557000000000000051e-01
8.459899999999999309e+00 8.016500000000000625e+00 9.152073021742782657e+03 1.273800000000000043e+00 2.646536029510445420e+00 -3.026657048635685854e-01 1.718659078384225491e+00 3.551773109795031580e+00 1.015876328638217974e+00 1.600433930960486650e+09 1.127999999999999975e-01 1.645000000000000073e-01
4.402900000000000347e+01 1.951200000000000045e+01 4.804318646534490836e+04 5.032700000000000173e+00 1.422764743145689792e+00 -7.955894142100622402e-01 1.349694171384253183e+00 5.865083437719549764e+00 6.364386986204252361e-01 1.578095002048268080e+09 1.652000000000000135e-01 1.214999999999999969e-01
3.877750000000000341e+01 3.052980000000000160e+01 3.154441658756490142e+04 3.524599999999999955e+00 1.894664934762485098e+00 1.403176352020718554e-01 2.393117424805967008e+00 6.144100290644236573e+00 4.631355844488635576e+00 1.596980240163276434e+09 8.939999999999999336e-02 1.280999999999999917e-01
3.312769999999999726e+01 3.278410000000000224e+01 2.804064236995999818e+04 3.193599999999999994e+00 1.201017940607383760e+00 -1.025283252661433941e+00 5.333254676470292388e+00 5.701889081470089771e+00 6.219606053756893793e+00 1.589128975892563581e+09 1.131999999999999951e-01 8.709999999999999687e-02
1.316699999999999982e+01 1.167800000000000082e+01 5.639235799558262079e+04 5.773200000000000109e+00 1.299817644637379921e+00 4.573473919177120095e-01 3.416230003717244834e+00 4.551549292670722835e+00 2.380325395691230916e+00 1.581039073060618401e+09 1.232000000000000040e-01 1.824999999999999956e-01
8.915499999999999758e+00 8.715199999999999392e+00 1.632367466021517794e+04 2.040999999999999925e+00 1.932790656126815776e+00 4.955010482431450036e-01 2.730011824225806016e+00 2.679424034244343389e+00 5.969110050838124515e+00 1.584824558944345713e+09 1.300999999999999934e-01 1.559000000000000108e-01
2.144500000000000028e+01 2.141400000000000148e+01 9.452910414286561718e+04 9.041900000000000048e+00 1.335418553249858364e+00 8.992006347548189282e-01 8.576984612170330813e-01 6.205570952353781783e-02 2.559399852073078296e+00 1.594767541674630880e+09 1.174999999999999933e-01 1.970999999999999974e-01
1.455869999999999997e+01 1.099729999999999919e+01 3.020469254512211410e+04 3.398600000000000065e+00 1.729348516536457270e+00 -3.884669711719421770e-01 2.298078535201305339e+00 1.460428747001750738e-01 4.303258576726367579e+00 1.594692121885893345e+09 1.774000000000000021e-01 7.820000000000000562e-02
3.199589999999999890e+01 2.613370000000000104e+01 8.367592290479968142e+03 1.184500000000000108e+00 5.899841656822630426e-02 -3.480102728307488125e-01 4.198147975925452080e+00 1.060890907401567995e+00 3.928143580049611838e+00 1.590819465881734848e+09 9.189999999999999558e-02 1.786000000000000087e-01
7.486600000000000144e+00 6.780999999999999694e+00 1.878591724607138167e+04 2.290799999999999947e+00 8.953487134383683044e-01 -2.374156920360765977e-01 2.239701753766421888e+00 1.194502740960688758e+00 4.042319529698093383e+00 1.606314872519705534e+09 2.195999999999999897e-01 6.759999999999999343e-02
1.445449999999999946e+01 1.383619999999999983e+01 2.088473218920651561e+04 2.500000000000000000e+00 2.194356876652462152e+00 3.497066612110018013e-01 2.408254007060763868e+00 1.489037025508977985e-01 2.123776387230001284e+00 1.588901608849987268e+09 7.251999999999999558e-01 1.034999999999999948e-01
1.578500000000000014e+01 1.494999999999999929e+01 2.015484662589191794e+04 2.427599999999999980e+00 7.244012031396074303e-01 1.471824998823882957e-01 3.173860306343000981e-01 5.902373841207202432e+00 4.239638570456984112e+00 1.577628599468650579e+09 2.018000000000000071e-01 1.426999999999999935e-01
3.028460000000000107e+01 2.273329999999999984e+01 1.144864174120488860e+04 1.527800000000000047e+00 1.672513851646820759e+00 3.544050511165857120e-01 5.303612471101083692e+00 1.212300592553955836e+00 3.757250676537056133e+00 1.586972864614809990e+09 2.444999999999999951e-01 1.418999999999999984e-01
3.726380000000000337e+01 3.222749999999999915e+01 2.342543312653231987e+04 2.749400000000000066e+00 1.405959012939239416e+00 -7.481109357694831763e-01 5.345429012910519084e+00 5.367047685876184637e+00 5.103939913143229035e+00 1.590628029879808187e+09 2.076999999999999957e-01 1.396999999999999909e-01
9.144999999999999574e+00 7.969299999999999606e+00 1.697020741381159314e+04 2.107099999999999973e+00 9.960681223374062698e-01 -1.229521633121949620e+00 4.796276579887784663e+00 4.149292512867164717e+00 5.897573553805584012e+00 1.593498126258253574e+09 1.799999999999999933e-01 2.139999999999999958e-01
1.373700000000000010e+01 1.093500000000000050e+01 2.415884561253785068e+04 2.820699999999999985e+00 1.770713476937892938e+00 -5.836945417198418085e-01 4.930310769248752223e+00 3.809700788286767281e+00 6.222049688944700563e+00 1.594541737582310438e+09 2.101999999999999980e-01 1.082999999999999935e-01
2.411100000000000065e+01 1.494299999999999962e+01 2.974930517023793072e+03 5.079000000000000181e-01 1.625717135302976901e+00 -7.299713118340662721e-01 1.531319270959226264e+00 6.210824576545911135e+00 7.820808304761487362e-01 1.604595933729177475e+09 1.612000000000000099e-01 1.766999999999999960e-01
2.119999999999999929e+01 1.684100000000000108e+01 3.174704666299679593e+04 3.543600000000000083e+00 1.426156101297707757e+00 8.846474667716530682e-01 2.835509785637889024e+00 3.093511437127798303e+00 2.088043876861875425e+00 1.597769665909868717e+09 6.140000000000000319e-02 1.512000000000000011e-01
8.831699999999999662e+00 8.237099999999999866e+00 5.543965296039142413e+04 5.689300000000000246e+00 2.690809633857978334e+00 -6.518500889384920560e-01 4.142259959807126357e+00 6.057572137451289862e+00 2.765418582568753170e+00 1.604939701694025517e+09 9.760000000000000620e-02 9.619999999999999385e-02
1.152299999999999969e+01 9.205399999999999139e+00 1.808195208389494292e+04 2.219899999999999984e+00 1.445465995111423929e+00 -4.346975522046439000e-01 5.322873784895564953e+00 2.363987380907520475e+00 7.192010670374778813e-01 1.606178266824924469e+09 1.456999999999999962e-01 1.885000000000000009e-01
2.434700000000000131e+01 2.021900000000000119e+01 6.040545947949625406e+04 6.125099999999999767e+00 1.215737832905684490e+00 4.512687230542860028e-01 3.738693469161183724e+00 3.469877816729699749e+00 3.412973839920874219e+00 1.602616880853104591e+09 1.350999999999999979e-01 4.979999999999999705e-02
2.189199999999999946e+01 2.121399999999999864e+01 1.953874135775070681e+04 2.366200000000000081e+00 1.457806332710205099e+00 -1.415690214763777988e+00 6.207249696610970702e+00 1.605405266753186400e+00 6.795646698870574931e-02 1.593442574685205221e+09 1.048999999999999932e-01 2.901000000000000245e-01
2.479899999999999949e+01 1.823000000000000043e+01 3.154441658756490142e+04 3.524599999999999955e+00 1.547425062143972019e+00 6.750413311768665992e-02 4.107652315063970327e+00 2.121359044089654589e+00 3.241255365259338550e+00 1.591790583943560839e+09 8.780000000000000304e-02 2.434000000000000052e-01
1.904200000000000159e+01 1.787199999999999989e+01 1.488349872769985086e+04 1.892300000000000093e+00 1.975631249907237708e+00 1.226714307729546150e-01 5.589008865470167287e+00 1.736831068661934152e+00 1.459399976775039021e-01 1.600993594698843718e+09 1.350999999999999979e-01 7.399999999999999634e-02
8.141400000000000858e+00 8.124599999999999156e+00 2.003020481530786856e+04 2.415200000000000014e+00 7.338192613790699426e-01 3.030831711626760239e-01 2.327612507494652760e+00 1.961105333924336058e+00 2.433956799725934150e+00 1.608058489329780102e+09 1.098999999999999977e-01 1.612999999999999989e-01
2.046799999999999997e+01 1.871399999999999864e+01 9.490637860597780673e+03 1.311900000000000066e+00 1.867167106948408151e+00 -5.065420750423277330e-01 3.113834575543278582e+00 3.040708075804668953e-01 5.773956383907798084e+00 1.598334804082190037e+09 1.160000000000000059e-01 2.379000000000000004e-01
3.738539999999999708e+01 2.706169999999999831e+01 2.681894700302002093e+04 3.076999999999999957e+00 2.397713545199525953e+00 7.849354169346076660e-01 1.814877893522307772e+00 1.220479814140774000e+00 2.983740882302889919e-01 1.599472468985545635e+09 8.429999999999999993e-02 1.852999999999999925e-01
4.079290000000000305e+01 3.710629999999999740e+01 3.057293929163627399e+04 3.433300000000000018e+00 2.051372681908976148e+00 -4.400807475943042668e-01 1.860953264909044336e+00 6.884153480982534434e-01 3.977580589480226525e+00 1.584373121924278498e+09 1.511000000000000121e-01 1.499999999999999944e-01
2.720200000000000173e+01 2.302799999999999869e+01 3.868367097580429981e+04 4.185999999999999943e+00 1.642958527476143571e+00 4.782049111071975389e-01 5.884793133765264805e+00 1.196142586244389072e+00 1.495621045431309915e+00 1.578543587546268702e+09 4.076000000000000179e-01 8.849999999999999534e-02
1.664199999999999946e+01 1.388899999999999935e+01 1.195819740577871380e+04 1.582899999999999974e+00 1.694363565895747215e+00 1.199202373590868564e+00 1.808320816956954680e+00 5.230507763827100476e+00 5.625849909308874075e+00 1.603374405389873981e+09 2.556999999999999829e-01 9.719999999999999474e-02
7.310699999999999754e+00 7.011000000000000121e+00 5.632290933339897492e+03 8.588999999999999968e-01 1.698104277045329180e+00 -1.323032001425084037e+00 6.255134409301622789e+00 2.819819947706410979e+00 2.432129577242058804e+00 1.601178871196376324e+09 2.697999999999999843e-01 2.741000000000000103e-01
2.416100000000000136e+01 2.107400000000000162e+01 5.080823658912379324e+04 5.279300000000000104e+00 1.671313925297226000e+00 1.949021638066825712e-01 4.817782245664317564e+00 2.282406230445221951e+00 3.545748133186758522e-01 1.592750569894071817e+09 1.524000000000000077e-01 1.549999999999999989e-01
8.685999999999999943e+00 8.559900000000000730e+00 1.426342579541306623e+04 1.827599999999999891e+00 1.979804922570105763e+00 8.665645719614927245e-01 3.550129395644629149e+00 2.388011222793237742e+00 8.869207202207037843e-01 1.602930102565204144e+09 1.791999999999999982e-01 1.118999999999999995e-01
1.247100000000000009e+01 1.172400000000000020e+01 2.160091012546094134e+04 2.570699999999999985e+00 1.895766428495594402e+00 -1.279006981983569213e+00 2.476407925650559783e+00 2.794711133283814153e+00 5.862451753552095912e-01 1.590776018277497530e+09 9.969999999999999696e-02 1.789999999999999925e-01
1.450539999999999985e+01 1.044159999999999933e+01 3.974654483601466200e+04 4.283199999999999896e+00 2.685908687353088187e+00 -1.125280701964517238e-01 2.927975317879726536e+00 2.681472020788684407e+00 5.523543693699751067e+00 1.579075186502005577e+09 2.570999999999999952e-01 2.056000000000000050e-01
1.693349999999999866e+01 1.050459999999999994e+01 4.750688262280448544e+04 4.984700000000000131e+00 5.202482334254505680e-01 -3.358987979485736908e-01 3.410181331678901806e+00 1.751280868365669097e+00 9.422300055955578069e-01 1.608698427172744751e+09 7.109999999999999654e-01 1.728999999999999981e-01
1.507719999999999949e+01 1.023399999999999999e+01 2.688477893658873654e+04 3.083299999999999930e+00 1.762444256919831975e+00 5.668441284455330020e-01 4.735444922228197129e+00 3.717303032205694358e+00 1.759383238312853814e+00 1.593461534464385748e+09 1.429999999999999882e-01 1.728000000000000091e-01
1.184699999999999953e+01 8.341499999999999915e+00 5.394296476961313601e+04 5.557199999999999918e+00 8.375757896797738633e-01 -9.142782816620893538e-01 4.649043074572976941e+00 3.926178658219259821e-01 5.935255131940746054e+00 1.586195542789848089e+09 2.190999999999999892e-01 3.960000000000000325e-02
7.981499999999999595e+00 7.711000000000000298e+00 1.722701867999560136e+03 3.194000000000000172e-01 2.487233248171613731e+00 9.662045937172969445e-02 3.005387666563547722e+00 3.885220972237904302e+00 3.188001861519409896e+00 1.593074256945283175e+09 2.666000000000000036e-01 1.542999999999999927e-01
1.022320000000000029e+01 1.017580000000000062e+01 2.130877018594853871e+04 2.541900000000000048e+00 7.149554027651086052e-01 9.146654002954455187e-01 6.073229387799194079e+00 6.025642877973888645e+00 5.588405439737046621e+00 1.588761798015927076e+09 1.675000000000000100e-01 1.152999999999999997e-01
2.289199999999999946e+01 2.113400000000000034e+01 3.797146489206922706e+04 4.120700000000000252e+00 1.471644266529267497e+00 1.358584453791454205e+00 1.054317330613269155e+00 2.261458044887785679e+00 1.103582433909092497e+00 1.580043529923065662e+09 2.142000000000000015e-01 1.670000000000000095e-01
6.541299999999999670e+00 5.817400000000000126e+00 2.367196851650069948e+04 2.773400000000000087e+00 2.169285406015478479e+00 -1.155747191244214100e-01 3.322940361415045007e+00 3.661754716642733332e-01 8.229836346793105439e-02 1.591194435826849699e+09 2.227000000000000091e-01 1.766999999999999960e-01
2.770200000000000173e+01 1.442500000000000071e+01 4.367705940870845370e+04 4.640200000000000102e+00 1.837584953671415278e+00 -2.286351515123079547e-01 6.140514827252985697e+00 5.916224006831014570e+00 5.591008655469658528e+00 1.595643610814559937e+09 1.040999999999999981e-01 1.197000000000000008e-01
3.003800000000000026e+01 2.398900000000000077e+01 6.225726069292556349e+04 6.286699999999999733e+00 1.857301478720794208e+00 -2.746400919749163450e-01 4.999184921605063003e+00 4.656940567154599364e+00 4.056999226669534941e+00 1.578214583604696035e+09 1.328999999999999904e-01 9.940000000000000224e-02
3.492099999999999937e+01 3.231199999999999761e+01 8.355019729741899937e+04 8.115700000000000358e+00 1.173648838137017814e+00 -8.305211569974231267e-01 5.889394191163724201e+00 4.409343808282674693e-01 3.753873946861145949e+00 1.584262467332557678e+09 1.733000000000000096e-01 2.270000000000000073e-01
2.982600000000000051e+01 2.555399999999999849e+01 5.514248038846706913e+04 5.663100000000000023e+00 1.442853868584580646e+00 -6.276965194046071339e-01 2.847262024969476446e+00 4.732462398777291135e+00 5.763114908907650324e+00 1.598505993241346836e+09 1.570999999999999897e-01 1.754999999999999893e-01
1.450399999999999956e+01 1.269400000000000084e+01 4.576501781115059566e+04 4.828400000000000247e+00 7.304887108498618886e-01 -2.473555220620737849e-02 3.448830535776794992e+00 3.698751689916225605e+00 3.492523384258098940e+00 1.604368140935353756e+09 1.502999999999999892e-01 1.184000000000000052e-01
2.330199999999999960e+01 7.366299999999999848e+00 3.237404897996471846e+04 3.602300000000000058e+00 8.353603078364855161e-01 2.972283592361790738e-06 5.217943619044494774e+00 2.549808786117181647e+00 3.122348492242357665e+00 1.584518809414468527e+09 2.416999999999999982e-01 1.423999999999999988e-01
1.591000000000000014e+01 1.575200000000000067e+01 1.338525916803442669e+04 1.735200000000000076e+00 8.244360842839519865e-01 -6.643966734760997639e-02 4.046785896895868540e+00 5.888081808384098892e+00 5.559782973789509697e+00 1.605789492422601938e+09 1.082999999999999935e-01 1.074999999999999983e-01
8.886200000000000543e+00 5.806600000000000428e+00 2.076956634086463600e+04 2.488599999999999923e+00 1.841647456682581785e+00 -2.954170340281199181e-01 4.971057830837451452e-01 1.198080208288482273e+00 2.277444548007346636e+00 1.587708530400597572e+09 3.609999999999999876e-01 1.474999999999999922e-01
2.080300000000000082e+01 1.766199999999999903e+01 1.138977805642803578e+05 1.065489999999999959e+01 1.378217668190372613e+00 -7.685722984604593799e-01 4.964076842238102749e+00 3.111122823027328899e+00 9.421009718942725542e-01 1.599229009724237919e+09 1.827999999999999903e-01 5.290000000000000258e-02
1.099900000000000055e+01 9.819300000000000139e+00 1.386030402084229172e+04 1.785300000000000109e+00 1.167596498369415370e+00 7.300106047126750930e-01 1.721167183979320559e+00 5.406631553964764692e+00 1.088809461824982616e+00 1.592838621705210209e+09 2.021999999999999909e-01 1.149000000000000021e-01
1.234699999999999953e+01 9.996100000000000207e+00 3.335001044132089737e+04 3.693400000000000016e+00 1.965380442452670406e+00 8.699558665393123391e-01 2.640365310731454862e+00 4.632951029004989674e-01 4.779622244593475955e+00 1.580978433579382658e+09 2.273999999999999910e-01 1.414999999999999869e-01
8.740899999999999892e+00 8.101599999999999469e+00 2.641083390630035137e+04 3.037900000000000045e+00 1.754477389472283377e+00 5.792449974003988089e-02 3.711182110872948581e+00 2.525835408521749148e+00 3.444244240809172020e+00 1.581575581174739122e+09 6.300000000000000044e-02 1.097999999999999948e-01
